City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Busselton,AU,66.04,clear sky,-33.65,115.3333,Observatory Guest House
2,Samarai,PG,79.95,overcast clouds,-10.6167,150.6667,Nuli Sapi
4,Kapaa,US,67.98,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
12,Rikitea,PF,78.8,overcast clouds,-23.1203,-134.9692,People ThankYou
13,Vaini,TO,75.36,light rain,-21.2,-175.2,Keleti Beach Resort
15,Mahebourg,MU,80.26,light intensity shower rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
17,Ushuaia,AR,64.06,scattered clouds,-54.8,-68.3,Albatross Hotel
18,Serenje,ZM,60.17,broken clouds,-13.2325,30.2352,The Kabaso's
20,Port Macquarie,AU,64.36,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
22,Pisco,PE,71.02,mist,-13.7,-76.2167,Hotel San Isidro Oficial
23,Vila Franca Do Campo,PT,64.2,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
24,Atuona,PF,78.82,clear sky,-9.8,-139.0333,Villa Enata
25,Avarua,CK,80.65,few clouds,-21.2078,-159.775,Paradise Inn
26,Harper,LR,80.55,scattered clouds,4.375,-7.7169,Screensaver
27,Saint-Philippe,RE,81.99,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
30,Champasak,LA,66.22,clear sky,14.75,106.0,Kiat Ngong Wetland BUNGALOW
32,Port Lincoln,AU,66.94,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
33,Butaritari,KI,82.36,few clouds,3.0707,172.7902,Isles Sunset Lodge
34,Hermanus,ZA,70.81,broken clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
35,Labuhan,ID,78.06,overcast clouds,-6.8844,112.2051,DoubleFAG
36,Bonthe,SL,80.24,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
42,San Quintin,MX,63.14,clear sky,30.4833,-115.95,Don Eddie's Landing
43,Port Elizabeth,ZA,69.1,broken clouds,-33.918,25.5701,39 On Nile Guest House
44,Saint-Joseph,RE,80.98,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
45,Half Moon Bay,US,60.19,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
46,Tautira,PF,82.42,scattered clouds,-17.7333,-149.15,Pension Oaoa
48,Iralaya,HN,86.09,scattered clouds,15.0,-83.2333,Iglesia morava renovada
52,Porto Novo,BJ,84.02,clear sky,6.4965,2.6036,Tour Eiffel Hotel Benin
54,Conde,BR,85.46,scattered clouds,-7.2597,-34.9075,Pousada Beija Flor
56,Cap Malheureux,MU,80.47,overcast clouds,-19.9842,57.6142,Pereybere Hotel & Spa
58,Bredasdorp,ZA,70.29,overcast clouds,-34.5322,20.0403,Bredasdorp Country Manor
59,Harda,IN,61.27,clear sky,22.3333,77.1,OYO 67581 Samaroh Parisar
62,Geraldton,AU,70.21,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
63,Apac,UG,74.59,overcast clouds,1.9756,32.5386,Double Duez Apac
64,Nicoya,CR,87.35,clear sky,10.1483,-85.452,Las Cabinas Del Sueño
65,Punta Arenas,CL,66.31,light rain,-53.15,-70.9167,Hotel Hain
67,Sigli,ID,77.49,overcast clouds,5.3848,95.9609,Losmen Dua Mali
69,Cabra,ES,62.04,few clouds,37.4725,-4.4421,MS Fuente Las Piedras
70,Isangel,VU,79.79,overcast clouds,-19.55,169.2667,Tanna Lodge
71,Disa,IN,61.27,clear sky,24.25,72.1667,Prime Hotel
72,Hilo,US,75.61,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
73,Ponta Do Sol,PT,71.13,clear sky,32.6667,-17.1,Hotel do Campo
77,Trairi,BR,83.46,broken clouds,-3.2778,-39.2689,janelas do mar
84,Hithadhoo,MV,82.24,overcast clouds,-0.6,73.0833,Scoop Guest House
86,Kiunga,PG,72.28,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
88,Karratha,AU,84.33,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
90,Georgetown,MY,80.89,few clouds,5.4112,100.3354,Cititel Penang
94,Teluknaga,ID,78.19,few clouds,-6.0989,106.6381,Bale Ocasa hotel
97,Acapulco,MX,82.22,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
98,Cayenne,GF,84.24,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
100,Cape Town,ZA,76.87,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
101,Juxtlahuaca,MX,85.42,few clouds,17.4294,-99.1467,"Casa de Huespedes ""El centro"""
104,Balabac,PH,80.15,broken clouds,7.9868,117.0645,Batalla’s Lodging House
105,Arraial Do Cabo,BR,87.76,thunderstorm,-22.9661,-42.0278,Pousada Porto Praia
106,Jimeta,NG,78.19,clear sky,9.2833,12.4667,Yola International Hotel
108,Cabo San Lucas,MX,73.51,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
110,Biloela,AU,65.73,clear sky,-24.4167,150.5,Biloela Silo Motor Inn
112,Kloulklubed,PW,81.1,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
115,Coihaique,CL,70.41,broken clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
116,Sao Felix Do Xingu,BR,86.58,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
118,Cuncolim,IN,75.09,scattered clouds,15.1667,73.9833,"Holiday Inn Resort Goa, an IHG Hotel"
