City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Irtyshskiy,RU,58.3333,68.1333,19.8,89,100,6.26,overcast clouds
1,Busselton,AU,-33.65,115.3333,66.04,83,0,7.56,clear sky
2,Samarai,PG,-10.6167,150.6667,79.95,82,100,8.81,overcast clouds
3,Jojoima,SL,7.8792,-10.7878,83.5,28,42,0.31,scattered clouds
4,Kapaa,US,22.0752,-159.319,67.98,75,20,6.91,few clouds
5,Ilulissat,GL,69.2167,-51.1,6.82,47,75,11.5,broken clouds
6,Yar-Sale,RU,66.8333,70.8333,-11.6,100,78,3.42,broken clouds
7,Magadan,RU,59.5667,150.8,-0.6,61,14,12.28,few clouds
8,Mount Gambier,AU,-37.8333,140.7667,58.91,82,40,6.91,scattered clouds
9,Yellowknife,CA,62.456,-114.3525,-11.58,86,75,6.91,light snow
10,Vostok,RU,46.4856,135.8833,-11.04,99,100,3.24,overcast clouds
11,Port Hardy,CA,50.6996,-127.4199,41.76,93,75,4.61,broken clouds
12,Rikitea,PF,-23.1203,-134.9692,78.8,72,100,11.7,overcast clouds
13,Vaini,TO,-21.2,-175.2,75.36,100,100,12.66,light rain
14,Saskylakh,RU,71.9167,114.0833,-25.74,100,98,3.2,overcast clouds
15,Mahebourg,MU,-20.4081,57.7,80.26,89,75,20.71,light intensity shower rain
16,Inuvik,CA,68.3499,-133.7218,-31.94,68,20,2.3,few clouds
17,Ushuaia,AR,-54.8,-68.3,64.06,45,40,14.97,scattered clouds
18,Serenje,ZM,-13.2325,30.2352,60.17,98,76,3.2,broken clouds
19,Oberndorf,DE,48.2905,8.5722,39.7,88,29,5.41,scattered clouds
20,Port Macquarie,AU,-31.4333,152.9167,64.36,73,86,14.47,overcast clouds
21,Tiksi,RU,71.6872,128.8694,-22.4,98,85,7.81,overcast clouds
22,Pisco,PE,-13.7,-76.2167,71.02,83,75,9.22,mist
23,Vila Franca Do Campo,PT,37.7167,-25.4333,64.2,77,74,12.26,broken clouds
24,Atuona,PF,-9.8,-139.0333,78.82,75,7,23.55,clear sky
25,Avarua,CK,-21.2078,-159.775,80.65,78,20,12.66,few clouds
26,Harper,LR,4.375,-7.7169,80.55,79,27,9.48,scattered clouds
27,Saint-Philippe,RE,-21.3585,55.7679,81.99,86,100,21.74,light rain
28,Yashalta,RU,46.3395,42.2762,28.9,81,100,11.32,overcast clouds
29,Bluff,NZ,-46.6,168.3333,50.81,74,94,13.69,overcast clouds
30,Champasak,LA,14.75,106.0,66.22,79,6,1.99,clear sky
31,Qaanaaq,GL,77.484,-69.3632,2.34,83,100,4.25,overcast clouds
32,Port Lincoln,AU,-34.7333,135.8667,66.94,80,100,15.12,overcast clouds
33,Butaritari,KI,3.0707,172.7902,82.36,70,13,19.37,few clouds
34,Hermanus,ZA,-34.4187,19.2345,70.81,77,65,16.84,broken clouds
35,Labuhan,ID,-6.8844,112.2051,78.06,86,100,9.35,overcast clouds
36,Bonthe,SL,7.5264,-12.505,80.24,74,91,10.36,overcast clouds
37,Leningradskiy,RU,69.3833,178.4167,-22.18,96,7,4.36,clear sky
38,Jamestown,US,42.097,-79.2353,20.08,45,100,4.0,overcast clouds
39,Meridian,US,43.6121,-116.3915,34.09,79,0,1.01,haze
40,Clyde River,CA,70.4692,-68.5914,-25.37,68,40,11.5,scattered clouds
41,Aksu,CN,41.1231,80.2644,24.44,54,100,2.91,overcast clouds
42,San Quintin,MX,30.4833,-115.95,63.14,24,0,5.44,clear sky
43,Port Elizabeth,ZA,-33.918,25.5701,69.1,83,75,17.27,broken clouds
44,Saint-Joseph,RE,-21.3667,55.6167,80.98,83,100,17.9,light rain
45,Half Moon Bay,US,37.4636,-122.4286,60.19,69,0,3.44,clear sky
46,Tautira,PF,-17.7333,-149.15,82.42,72,35,18.52,scattered clouds
47,Andenes,NO,69.3143,16.1194,35.58,75,100,28.77,overcast clouds
48,Iralaya,HN,15.0,-83.2333,86.09,70,39,9.33,scattered clouds
49,Mataura,NZ,-46.1927,168.8643,50.49,92,100,1.07,overcast clouds
50,Lisa,RO,43.8,25.1333,46.51,73,100,15.95,overcast clouds
51,Albany,US,42.6001,-73.9662,21.16,61,25,5.01,scattered clouds
52,Porto Novo,BJ,6.4965,2.6036,84.02,79,0,6.89,clear sky
53,Te Anau,NZ,-45.4167,167.7167,42.82,88,18,2.39,few clouds
54,Conde,BR,-7.2597,-34.9075,85.46,66,40,11.5,scattered clouds
55,Iberia,US,29.9502,-91.7507,46.98,42,0,12.66,clear sky
56,Cap Malheureux,MU,-19.9842,57.6142,80.47,80,100,10.0,overcast clouds
57,Verkhnyaya Sinyachikha,RU,57.976,61.6673,13.64,98,100,2.64,overcast clouds
58,Bredasdorp,ZA,-34.5322,20.0403,70.29,73,100,24.16,overcast clouds
59,Harda,IN,22.3333,77.1,61.27,29,0,4.74,clear sky
60,Hobart,AU,-42.8794,147.3294,57.06,79,40,4.61,scattered clouds
61,Iqaluit,CA,63.7506,-68.5145,-24.07,62,75,0.0,broken clouds
62,Geraldton,AU,-28.7667,114.6,70.21,94,100,3.44,overcast clouds
63,Apac,UG,1.9756,32.5386,74.59,55,100,5.14,overcast clouds
64,Nicoya,CR,10.1483,-85.452,87.35,30,8,16.11,clear sky
65,Punta Arenas,CL,-53.15,-70.9167,66.31,52,75,31.07,light rain
66,Khatanga,RU,71.9667,102.5,-31.72,99,99,2.08,overcast clouds
67,Sigli,ID,5.3848,95.9609,77.49,80,100,4.61,overcast clouds
68,Marivan,IR,35.5219,46.176,31.78,98,100,4.76,light snow
69,Cabra,ES,37.4725,-4.4421,62.04,66,24,2.3,few clouds
70,Isangel,VU,-19.55,169.2667,79.79,91,100,14.05,overcast clouds
71,Disa,IN,24.25,72.1667,61.27,38,0,4.34,clear sky
72,Hilo,US,19.7297,-155.09,75.61,83,0,3.44,clear sky
73,Ponta Do Sol,PT,32.6667,-17.1,71.13,41,0,10.65,clear sky
74,Kaitangata,NZ,-46.2817,169.8464,47.7,82,79,5.37,broken clouds
75,Chokurdakh,RU,70.6333,147.9167,-30.15,100,100,1.52,overcast clouds
76,Broome,US,42.2506,-75.833,19.71,67,75,3.0,broken clouds
77,Trairi,BR,-3.2778,-39.2689,83.46,67,59,10.83,broken clouds
78,Torbay,CA,47.6666,-52.7314,49.75,94,100,23.02,moderate rain
79,Kadoma,JP,34.7333,135.5833,37.38,62,8,12.82,clear sky
80,Hamilton,US,39.1834,-84.5333,25.95,72,40,1.99,snow
81,La Ronge,CA,55.1001,-105.2842,-9.15,64,75,8.05,broken clouds
82,Dikson,RU,73.5069,80.5464,-18.2,100,99,3.47,overcast clouds
83,Lansing,US,42.7325,-84.5555,24.6,74,0,6.91,clear sky
84,Hithadhoo,MV,-0.6,73.0833,82.24,73,100,12.95,overcast clouds
85,Upernavik,GL,72.7868,-56.1549,-0.85,98,100,4.74,overcast clouds
86,Kiunga,PG,-6.1219,141.2906,72.28,100,100,2.66,overcast clouds
87,Balkanabat,TM,39.5108,54.3671,41.88,83,87,13.89,overcast clouds
