City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Punta Arenas,CL,2022-01-27 03:39:08,-53.15,-70.9167,50.11,76,40,25.32
1,Kapaa,US,2022-01-27 03:39:08,22.0752,-159.319,76.98,74,20,1.01
2,Saskylakh,RU,2022-01-27 03:35:24,71.9167,114.0833,-14.46,93,46,5.44
3,Albany,US,2022-01-27 03:37:26,42.6001,-73.9662,8.47,65,4,2.28
4,Hansot,IN,2022-01-27 03:39:09,21.5833,72.8,64.33,35,0,12.93
5,Kahului,US,2022-01-27 03:39:09,20.8947,-156.47,80.62,66,40,12.66
6,Bam,IR,2022-01-27 03:39:10,29.106,58.357,53.78,31,0,2.15
7,Cidreira,BR,2022-01-27 03:39:10,-30.1811,-50.2056,74.44,95,100,6.2
8,San Vicente,AR,2022-01-27 03:39:11,-26.6167,-54.1333,69.91,97,87,2.51
9,Alyangula,AU,2022-01-27 03:39:11,-13.8483,136.4192,91.27,62,100,11.5
10,Carnarvon,AU,2022-01-27 03:39:11,-24.8667,113.6333,82.47,65,75,13.8
11,Nanortalik,GL,2022-01-27 03:39:12,60.1432,-45.2371,25.9,95,98,20.18
12,Avarua,CK,2022-01-27 03:39:12,-21.2078,-159.775,82.45,83,40,12.66
13,Kodiak,US,2022-01-27 03:39:13,57.79,-152.4072,35.11,87,100,18.41
14,Wakkanai,JP,2022-01-27 03:39:13,45.4094,141.6739,22.98,74,75,12.66
15,Spencer,US,2022-01-27 03:39:14,43.1414,-95.1444,33.91,68,100,16.11
16,Ostrovnoy,RU,2022-01-27 03:35:54,68.0531,39.5131,13.89,95,86,20.62
17,Yemtsa,RU,2022-01-27 03:39:14,63.0734,40.3329,10.87,94,100,6.33
18,Kem,RU,2022-01-27 03:39:14,64.9555,34.5793,20.5,94,100,9.06
19,Thompson,CA,2022-01-27 03:39:15,55.7435,-97.8558,-7.44,71,0,13.8
20,Vaini,TO,2022-01-27 03:39:15,-21.2,-175.2,86.16,84,20,9.22
21,Taldan,RU,2022-01-27 03:39:16,53.6667,124.8,5.52,58,59,9.64
22,Westerland,DE,2022-01-27 03:39:16,54.9079,8.3033,43.95,93,100,36.44
23,Faanui,PF,2022-01-27 03:39:17,-16.4833,-151.75,80.94,77,26,18.61
24,Chimbote,PE,2022-01-27 03:38:52,-9.0853,-78.5783,70.93,80,60,5.97
25,Port Hardy,CA,2022-01-27 03:39:17,50.6996,-127.4199,40.75,93,40,5.75
26,Ushuaia,AR,2022-01-27 03:39:18,-54.8,-68.3,49.66,76,75,23.02
27,Pierre,US,2022-01-27 03:39:18,44.3683,-100.351,40.12,52,100,18.41
28,Tromso,NO,2022-01-27 03:39:18,69.6496,18.957,26.62,86,75,4.61
29,Tuktoyaktuk,CA,2022-01-27 03:39:19,69.4541,-133.0374,-7.6,77,0,17.27
30,Bambous Virieux,MU,2022-01-27 03:39:19,-20.3428,57.7575,80.22,88,40,4.61
31,Iqaluit,CA,2022-01-27 03:35:32,63.7506,-68.5145,-24.07,76,0,0.0
32,Clemencia,CO,2022-01-27 03:39:20,10.5665,-75.325,78.39,83,11,15.97
33,Rikitea,PF,2022-01-27 03:38:41,-23.1203,-134.9692,78.22,79,4,18.07
34,Mataura,NZ,2022-01-27 03:39:20,-46.1927,168.8643,57.47,41,44,7.96
35,Avera,US,2022-01-27 03:39:21,33.194,-82.5271,44.47,69,17,10.4
36,Atraulia,IN,2022-01-27 03:39:21,26.3333,82.95,56.73,61,0,8.19
37,Chuy,UY,2022-01-27 03:39:22,-33.6971,-53.4616,69.87,86,92,18.19
38,Yellowknife,CA,2022-01-27 03:37:57,62.456,-114.3525,4.41,89,100,5.75
39,Ahuimanu,US,2022-01-27 03:39:22,21.4447,-157.8378,78.51,66,20,4.0
40,Hilo,US,2022-01-27 03:34:32,19.7297,-155.09,74.25,85,0,3.0
41,Georgetown,MY,2022-01-27 03:37:00,5.4112,100.3354,85.93,76,20,1.01
42,Lorengau,PG,2022-01-27 03:39:23,-2.0226,147.2712,83.3,77,97,5.68
43,Saint-Augustin,CA,2022-01-27 03:39:24,51.226,-58.6502,-17.03,84,1,8.52
44,Hermanus,ZA,2022-01-27 03:39:24,-34.4187,19.2345,63.81,85,22,9.17
45,Coahuayana,MX,2022-01-27 03:39:24,18.7333,-103.6833,78.28,77,100,2.98
46,Tasiilaq,GL,2022-01-27 03:39:25,65.6145,-37.6368,19.56,81,100,5.97
47,Kailua,US,2022-01-27 03:35:39,21.4022,-157.7394,78.78,70,20,8.05
48,Cape Town,ZA,2022-01-27 03:34:59,-33.9258,18.4232,65.26,81,0,1.99
49,Hobart,AU,2022-01-27 03:39:26,-42.8794,147.3294,81.01,59,75,7.0
50,Roebourne,AU,2022-01-27 03:39:26,-20.7833,117.1333,94.35,35,1,16.8
51,Pangnirtung,CA,2022-01-27 03:39:27,66.1451,-65.7125,-24.43,94,100,5.32
52,Hasaki,JP,2022-01-27 03:39:27,35.7333,140.8333,54.28,51,94,10.31
53,Busselton,AU,2022-01-27 03:36:54,-33.65,115.3333,78.55,34,0,4.74
54,Karema,TZ,2022-01-27 03:39:28,-6.8205,30.4389,70.97,87,100,3.47
55,Solenzo,BF,2022-01-27 03:39:28,12.1833,-4.0833,67.91,13,2,5.44
56,Sakakah,SA,2022-01-27 03:37:36,29.9697,40.2064,42.37,63,6,18.68
57,Castro,BR,2022-01-27 03:35:58,-24.7911,-50.0119,66.51,90,97,3.13
58,Hegang,CN,2022-01-27 03:39:29,47.4,130.3667,14.47,65,8,5.53
59,Skelleftea,SE,2022-01-27 03:39:29,64.7507,20.9528,25.16,93,100,2.3
60,Reconquista,AR,2022-01-27 03:39:30,-29.15,-59.65,75.58,90,83,10.94
61,Lisakovsk,KZ,2022-01-27 03:39:30,52.5369,62.4936,16.56,95,100,8.08
62,Amuntai,ID,2022-01-27 03:35:58,-2.4177,115.2494,88.39,62,97,3.22
63,Mayumba,GA,2022-01-27 03:39:31,-3.432,10.6554,75.97,89,82,4.14
64,Marinette,US,2022-01-27 03:39:31,45.1,-87.6307,9.09,66,0,10.36
65,Bonoua,CI,2022-01-27 03:39:32,5.2741,-3.595,76.62,90,0,1.14
66,La Cruz,MX,2022-01-27 03:39:32,23.9167,-106.9,62.46,68,53,3.0
67,Weihai,CN,2022-01-27 03:39:33,37.5017,122.1136,32.38,51,54,17.22
68,Barrow,US,2022-01-27 03:39:29,71.2906,-156.7887,-11.18,70,0,17.27
69,Luang Prabang,LA,2022-01-27 03:39:33,19.8856,102.1347,66.16,77,0,2.3
70,Heihe,CN,2022-01-27 03:39:34,50.2441,127.4902,8.4,67,2,9.75
71,Lavrentiya,RU,2022-01-27 03:39:34,65.5833,-171.0,-18.13,85,29,4.05
72,Boyolangu,ID,2022-01-27 03:39:34,-8.1181,111.8935,84.79,69,95,4.12
73,Puerto Ayora,EC,2022-01-27 03:39:35,-0.7393,-90.3518,73.11,91,98,6.15
74,Atuona,PF,2022-01-27 03:39:35,-9.8,-139.0333,78.91,77,14,19.39
75,Geraldton,AU,2022-01-27 03:39:36,-28.7667,114.6,86.41,45,0,21.85
76,New Norfolk,AU,2022-01-27 03:38:47,-42.7826,147.0587,80.65,46,86,1.99
77,Jinka,ET,2022-01-27 03:39:36,5.65,36.65,61.84,39,74,2.35
78,Arak,IR,2022-01-27 03:39:37,34.0917,49.6892,35.28,90,57,2.01
79,Hamilton,US,2022-01-27 03:36:03,39.1834,-84.5333,18.36,68,0,0.0
80,Hithadhoo,MV,2022-01-27 03:39:26,-0.6,73.0833,81.93,74,91,21.3
81,Buraydah,SA,2022-01-27 03:39:02,26.326,43.975,50.45,35,0,14.38
82,Nikolskoye,RU,2022-01-27 03:39:37,59.7035,30.7861,25.88,93,100,9.98
83,Khatanga,RU,2022-01-27 03:39:38,71.9667,102.5,2.01,85,100,13.76
84,Bubaque,GW,2022-01-27 03:39:38,11.2833,-15.8333,78.37,62,81,6.8
85,Torbay,CA,2022-01-27 03:39:39,47.6666,-52.7314,28.76,96,100,14.97
86,Mount Gambier,AU,2022-01-27 03:37:38,-37.8333,140.7667,91.31,43,40,13.8
87,Sitka,US,2022-01-27 03:35:50,57.0531,-135.33,35.49,93,75,0.0
88,Nyimba,ZM,2022-01-27 03:39:39,-14.5566,30.8149,66.49,97,94,2.04
89,Bembereke,BJ,2022-01-27 03:39:40,10.2283,2.6634,65.53,21,0,6.4
90,Esperance,AU,2022-01-27 03:39:22,-33.8667,121.9,67.59,76,99,11.16
91,Itigi,TZ,2022-01-27 03:39:41,-5.7,34.4833,63.23,95,93,5.64
92,Methoni,GR,2022-01-27 03:39:41,36.8197,21.7049,40.21,45,4,4.29
93,Aklavik,CA,2022-01-27 03:39:42,68.2191,-135.0107,-3.28,97,100,3.85
94,Sibolga,ID,2022-01-27 03:35:57,1.7427,98.7792,84.76,60,72,3.87
95,Mar Del Plata,AR,2022-01-27 03:39:42,-38.0023,-57.5575,64.09,69,75,8.01
96,Praia Da Vitoria,PT,2022-01-27 03:39:43,38.7333,-27.0667,57.45,94,75,11.21
97,Faya,SA,2022-01-27 03:36:52,18.3851,42.4509,53.71,58,32,5.57
98,Portland,US,2022-01-27 03:39:14,45.5234,-122.6762,41.77,74,20,1.01
99,Saint-Philippe,RE,2022-01-27 03:39:43,-21.3585,55.7679,73.11,61,17,7.27
100,Port Alfred,ZA,2022-01-27 03:36:47,-33.5906,26.891,72.39,92,80,4.09
101,Tyukhtet,RU,2022-01-27 03:39:44,56.5389,89.3011,6.1,95,91,4.43
102,Yabelo,ET,2022-01-27 03:39:45,4.8833,38.0833,55.56,36,48,7.25
